identifier,player_name,team,player_position,player_minutes_played,player_total_point_obtained,round,player_costs,second_name,first_name,photo,holding_period,Cost
De Gea-32714,De Gea,Man Utd,Goalkeeper,90,8,4,4.8020000000000005,De Gea Quintana,David,51940.jpg,2,4.8020000000000005
Sánchez-1135,Sánchez,Brighton,Goalkeeper,90,8,4,4.4159999999999995,Sánchez,Robert,215059.jpg,4,4.4159999999999995
Kane-42718,Kane,Spurs,Forward,90,10,4,11.172,Kane,Harry,78830.jpg,2,11.172
Haaland-31813,Haaland,Man City,Forward,83,17,4,11.466,Haaland,Erling,223094.jpg,2,11.466
Firmino-27912,Firmino,Liverpool,Forward,68,22,4,7.84,Firmino,Roberto,92217.jpg,2,7.84
Gordon-1958,Gordon,Everton,Midfielder,90,6,4,5.39,Gordon,Anthony,232826.jpg,2,5.39
Rashford-33514,Rashford,Man Utd,Midfielder,90,3,4,6.111,Rashford,Marcus,176297.jpg,3,6.111
Ødegaard-71,Ødegaard,Arsenal,Midfielder,90,10,4,6.24,Ødegaard,Martin,184029.jpg,4,6.24
Groß-1045,Groß,Brighton,Midfielder,90,11,4,5.529,Groß,Pascal,60307.jpg,3,5.529
Neves-48020,Neves,Wolves,Midfielder,90,10,4,5.279999999999999,da Silva Neves,Rúben,171317.jpg,4,5.279999999999999
Sterling-3046,Sterling,Chelsea,Midfielder,74,15,4,9.504,Sterling,Raheem,103955.jpg,4,9.504
Janelt-864,Janelt,Brentford,Midfielder,21,6,4,5.445,Janelt,Vitaly,204580.jpg,1,5.445
Dier-43018,Dier,Spurs,Defender,90,6,4,4.85,Dier,Eric,93264.jpg,3,4.85
James-1466,James,Chelsea,Defender,90,7,4,5.856,James,Reece,225796.jpg,4,5.856
Saliba-261,Saliba,Arsenal,Defender,90,7,4,4.4159999999999995,Saliba,William,462424.jpg,4,4.4159999999999995
De Gea-32714,De Gea,Man Utd,Goalkeeper,90,6,5,4.8020000000000005,De Gea Quintana,David,51940.jpg,2,4.8020000000000005
Pickford-1828,Pickford,Everton,Goalkeeper,90,3,5,4.32,Pickford,Jordan,111234.jpg,4,4.32
Firmino-27912,Firmino,Liverpool,Forward,90,9,5,7.84,Firmino,Roberto,92217.jpg,2,7.84
A.Armstrong-40817,A.Armstrong,Southampton,Forward,85,9,5,5.445,Armstrong,Adam,155511.jpg,1,5.445
Haaland-31813,Haaland,Man City,Forward,68,17,5,11.564,Haaland,Erling,223094.jpg,2,11.564
Janelt-864,Janelt,Brentford,Midfielder,90,8,5,5.445,Janelt,Vitaly,204580.jpg,1,5.445
Soucek-46819,Soucek,West Ham,Midfielder,90,10,5,5.184,Soucek,Tomas,215439.jpg,4,5.184
Sterling-3046,Sterling,Chelsea,Midfielder,90,8,5,9.504,Sterling,Raheem,103955.jpg,4,9.504
Neves-48020,Neves,Wolves,Midfielder,90,2,5,5.279999999999999,da Silva Neves,Rúben,171317.jpg,4,5.279999999999999
Gordon-1958,Gordon,Everton,Midfielder,90,8,5,5.39,Gordon,Anthony,232826.jpg,2,5.39
Salah-28312,Salah,Liverpool,Midfielder,90,10,5,12.87,Salah,Mohamed,118748.jpg,1,12.87
Rashford-33514,Rashford,Man Utd,Midfielder,86,6,5,6.111,Rashford,Marcus,176297.jpg,3,6.111
Saliba-261,Saliba,Arsenal,Defender,90,1,5,4.512,Saliba,William,462424.jpg,4,4.512
Zemura-763,Zemura,Bournemouth,Defender,68,6,5,4.356,Zemura,Jordan,447932.jpg,1,4.356
Cancelo-30613,Cancelo,Man City,Defender,67,12,5,7.029,Cancelo,João,121145.jpg,1,7.029
Pickford-1828,Pickford,Everton,Goalkeeper,90,9,6,4.32,Pickford,Jordan,111234.jpg,4,4.32
Alisson-28112,Alisson,Liverpool,Goalkeeper,90,8,6,5.39,Ramses Becker,Alisson,116535.jpg,2,5.39
Toney-804,Toney,Brentford,Forward,90,17,6,7.029,Toney,Ivan,144485.jpg,1,7.029
Solanke-663,Solanke,Bournemouth,Forward,90,12,6,5.529,Solanke,Dominic,154566.jpg,3,5.529
Haaland-31813,Haaland,Man City,Forward,90,9,6,11.662,Haaland,Erling,223094.jpg,2,11.662
Sterling-3046,Sterling,Chelsea,Midfielder,90,2,6,9.6,Sterling,Raheem,103955.jpg,4,9.6
Soucek-46819,Soucek,West Ham,Midfielder,90,2,6,5.184,Soucek,Tomas,215439.jpg,4,5.184
