identifier,player_name,team,player_position,player_minutes_played,player_total_point_obtained,round,player_costs,second_name,first_name,photo,holding_period
Dier-43018,Dier,Spurs,Defender,90,8,1,5.0,Dier,Eric,93264.jpg,3
Romero-44318,Romero,Spurs,Defender,90,2,1,5.0,Romero,Cristian,221632.jpg,4
Matip-27612,Matip,Liverpool,Defender,90,1,1,6.0,Matip,Joel,60914.jpg,1
Van Dijk-28012,Van Dijk,Liverpool,Defender,90,1,1,6.5,van Dijk,Virgil,97032.jpg,4
Robertson-28412,Robertson,Liverpool,Defender,90,1,1,7.0,Robertson,Andrew,122798.jpg,3
Alexander-Arnold-28512,Alexander-Arnold,Liverpool,Defender,90,1,1,7.5,Alexander-Arnold,Trent,169187.jpg,2
Llorente-22811,Llorente,Leeds,Defender,90,2,1,4.5,Llorente,Diego,149915.jpg,4
Koch-23011,Koch,Leeds,Defender,90,2,1,4.5,Koch,Robin,193645.jpg,4
Struijk-23511,Struijk,Leeds,Defender,90,2,1,4.5,Struijk,Pascal,222694.jpg,1
Kristensen-24411,Kristensen,Leeds,Defender,90,2,1,5.0,Kristensen,Rasmus,224209.jpg,4
Walker-Peters-40917,Walker-Peters,Southampton,Defender,90,0,1,4.5,Walker-Peters,Kyle,158534.jpg,3
Salisu-42017,Salisu,Southampton,Defender,90,-2,1,4.5,Salisu,Mohammed,450527.jpg,3
N.Williams-29516,N.Williams,Nott'm Forest,Defender,90,0,1,4.0,Williams,Neco,215136.jpg,3
McKenna-38516,McKenna,Nott'm Forest,Defender,90,1,1,4.5,McKenna,Scott,168281.jpg,1
Worrall-38816,Worrall,Nott'm Forest,Defender,90,0,1,4.5,Worrall,Joe,208912.jpg,2
Toffolo-52316,Toffolo,Nott'm Forest,Defender,90,1,1,4.5,Toffolo,Harry,114241.jpg,1
Azpilicueta-1276,Azpilicueta,Chelsea,Defender,90,7,1,5.0,Azpilicueta,César,41328.jpg,3
Thiago Silva-1286,Thiago Silva,Chelsea,Defender,90,6,1,5.5,Emiliano da Silva,Thiago,51090.jpg,4
James-1466,James,Chelsea,Defender,90,7,1,6.0,James,Reece,225796.jpg,4
Jonny-47720,Jonny,Wolves,Defender,90,1,1,4.5,Castro Otto,Jonathan,114128.jpg,2
Kilman-48420,Kilman,Wolves,Defender,90,1,1,4.5,Kilman,Max,214048.jpg,1
Aït-Nouri-48720,Aït-Nouri,Wolves,Defender,90,-1,1,4.5,Aït-Nouri,Rayan,448514.jpg,4
Collins-51620,Collins,Wolves,Defender,90,1,1,4.5,Collins,Nathan,432830.jpg,4
Cresswell-45719,Cresswell,West Ham,Defender,90,1,1,5.0,Cresswell,Aaron,55459.jpg,2
Zouma-46119,Zouma,West Ham,Defender,90,1,1,4.5,Zouma,Kurt,103192.jpg,1
Coufal-46319,Coufal,West Ham,Defender,90,1,1,4.5,Coufal,Vladimir,164555.jpg,4
Johnson-47119,Johnson,West Ham,Defender,90,1,1,4.5,Johnson,Ben,222018.jpg,2
Dunk-1065,Dunk,Brighton,Defender,90,2,1,4.5,Dunk,Lewis,83299.jpg,1
Webster-1085,Webster,Brighton,Defender,90,2,1,4.5,Webster,Adam,110735.jpg,2
Veltman-1095,Veltman,Brighton,Defender,90,2,1,4.5,Veltman,Joël,111478.jpg,1
Trippier-35715,Trippier,Newcastle,Defender,90,7,1,5.0,Trippier,Kieran,77794.jpg,1
Burn-35815,Burn,Newcastle,Defender,90,6,1,4.5,Burn,Dan,78916.jpg,1
Schär-36615,Schär,Newcastle,Defender,90,15,1,4.5,Schär,Fabian,119471.jpg,3
Targett-36715,Targett,Newcastle,Defender,90,8,1,5.0,Targett,Matt,169359.jpg,2
Mykolenko-1948,Mykolenko,Everton,Defender,90,1,1,4.5,Mykolenko,Vitalii,224967.jpg,3
Patterson-1978,Patterson,Everton,Defender,90,2,1,4.0,Patterson,Nathan,243571.jpg,1
Tarkowski-1998,Tarkowski,Everton,Defender,90,2,1,4.5,Tarkowski,James,17761.jpg,2
Walker-29913,Walker,Man City,Defender,90,6,1,5.0,Walker,Kyle,58621.jpg,4
Cancelo-30613,Cancelo,Man City,Defender,90,7,1,7.0,Cancelo,João,121145.jpg,1
Aké-30813,Aké,Man City,Defender,90,7,1,5.0,Aké,Nathan,126184.jpg,4
Dias-31213,Dias,Man City,Defender,90,6,1,6.0,Gato Alves Dias,Rúben,171314.jpg,2
Xhaka-31,Xhaka,Arsenal,Midfielder,90,2,1,5.0,Xhaka,Granit,84450.jpg,1
Partey-61,Partey,Arsenal,Midfielder,90,3,1,5.0,Partey,Thomas,167199.jpg,4
Ødegaard-71,Ødegaard,Arsenal,Midfielder,90,3,1,6.5,Ødegaard,Martin,184029.jpg,4
Saka-131,Saka,Arsenal,Midfielder,90,6,1,8.0,Saka,Bukayo,223340.jpg,1
Martinelli-191,Martinelli,Arsenal,Midfielder,90,8,1,6.0,Martinelli Silva,Gabriel,444145.jpg,2
Jorginho-1306,Jorginho,Chelsea,Midfielder,90,11,1,6.0,Frello Filho,Jorge Luiz,85955.jpg,3
J.Ayew-1597,J.Ayew,Crystal Palace,Midfielder,90,2,1,5.5,Ayew,Jordan,80146.jpg,2
Zaha-1607,Zaha,Crystal Palace,Midfielder,90,2,1,7.0,Zaha,Wilfried,82403.jpg,3
Tielemans-25910,Tielemans,Leicester,Midfielder,90,2,1,6.5,Tielemans,Youri,166989.jpg,4
Maddison-26110,Maddison,Leicester,Midfielder,90,5,1,8.0,Maddison,James,172780.jpg,1
Ndidi-26510,Ndidi,Leicester,Midfielder,90,2,1,5.0,Ndidi,Wilfred,203341.jpg,1
Lerma-643,Lerma,Bournemouth,Midfielder,90,10,1,5.0,Lerma Solís,Jefferson,152551.jpg,2
Billing-703,Billing,Bournemouth,Midfielder,90,2,1,5.5,Billing,Philip,168991.jpg,3
De Cordova-Reid-2059,De Cordova-Reid,Fulham,Midfielder,90,1,1,5.5,De Cordova-Reid,Bobby,96994.jpg,2
Reed-2119,Reed,Fulham,Midfielder,90,2,1,4.5,Reed,Harrison,153366.jpg,2
Palhinha-2209,Palhinha,Fulham,Midfielder,90,2,1,5.0,Palhinha Gonçalves,João,154296.jpg,2
McGinn-372,McGinn,Aston Villa,Midfielder,90,2,1,5.5,McGinn,John,122806.jpg,4
Bailey-452,Bailey,Aston Villa,Midfielder,90,2,1,5.0,Bailey,Leon,215711.jpg,1
Dendoncker-47920,Dendoncker,Wolves,Midfielder,90,2,1,5.0,Dendoncker,Leander,151589.jpg,2
Rashford-33514,Rashford,Man Utd,Midfielder,90,2,1,6.5,Rashford,Marcus,176297.jpg,3
Eriksen-51914,Eriksen,Man Utd,Midfielder,90,2,1,6.5,Eriksen,Christian,80607.jpg,4
Janelt-864,Janelt,Brentford,Midfielder,90,2,1,5.5,Janelt,Vitaly,204580.jpg,1
Son-42818,Son,Spurs,Midfielder,90,5,1,12.0,Heung-min,Son,85971.jpg,2
Højbjerg-43318,Højbjerg,Spurs,Midfielder,90,2,1,5.5,Højbjerg,Pierre-Emile,132015.jpg,4
Henderson-27512,Henderson,Liverpool,Midfielder,90,2,1,5.5,Henderson,Jordan,56979.jpg,1
Salah-28312,Salah,Liverpool,Midfielder,90,12,1,13.0,Salah,Mohamed,118748.jpg,1
Harrison-23311,Harrison,Leeds,Midfielder,90,6,1,6.0,Harrison,Jack,221399.jpg,1
Adams-50611,Adams,Leeds,Midfielder,90,1,1,5.0,Adams,Tyler,200785.jpg,2
Lavia-32117,Lavia,Southampton,Midfielder,90,2,1,4.5,Lavia,Roméo,514356.jpg,1
Ward-Prowse-40717,Ward-Prowse,Southampton,Midfielder,90,9,1,6.5,Ward-Prowse,James,101178.jpg,1
Aribo-51217,Aribo,Southampton,Midfielder,90,2,1,5.5,Ayodele-Aribo,Joe,193204.jpg,1
Colback-38116,Colback,Nott'm Forest,Midfielder,90,2,1,4.5,Colback,Jack,58771.jpg,1
Gibbs-White-49320,Gibbs-White,Wolves,Midfielder,90,2,1,5.5,Gibbs-White,Morgan,222531.jpg,3
Lingard-52716,Lingard,Nott'm Forest,Midfielder,90,2,1,6.0,Lingard,Jesse,109322.jpg,4
Kanté-1346,Kanté,Chelsea,Midfielder,90,3,1,5.0,Kanté,N'Golo,116594.jpg,2
Sterling-3046,Sterling,Chelsea,Midfielder,90,3,1,10.0,Sterling,Raheem,103955.jpg,4
Neves-48020,Neves,Wolves,Midfielder,90,4,1,5.5,da Silva Neves,Rúben,171317.jpg,4
Podence-48320,Podence,Wolves,Midfielder,90,10,1,5.5,Castelo Podence,Daniel,200600.jpg,4
Neto-48620,Neto,Wolves,Midfielder,90,2,1,5.5,Lomba Neto,Pedro,247632.jpg,3
Bowen-46519,Bowen,West Ham,Midfielder,90,2,1,8.5,Bowen,Jarrod,178186.jpg,3
Rice-46719,Rice,West Ham,Midfielder,90,2,1,5.0,Rice,Declan,204480.jpg,4
Soucek-46819,Soucek,West Ham,Midfielder,90,2,1,5.5,Soucek,Tomas,215439.jpg,4
Fornals-46919,Fornals,West Ham,Midfielder,90,2,1,5.5,Fornals Malla,Pablo,217593.jpg,1
Groß-1045,Groß,Brighton,Midfielder,90,15,1,5.5,Groß,Pascal,60307.jpg,3
March-1075,March,Brighton,Midfielder,90,5,1,5.0,March,Solly,109345.jpg,4
Mac Allister-1165,Mac Allister,Brighton,Midfielder,90,0,1,5.5,Mac Allister,Alexis,243016.jpg,4
Caicedo-1205,Caicedo,Brighton,Midfielder,90,2,1,5.0,Caicedo Corozo,Moisés,486672.jpg,3
Joelinton-37115,Joelinton,Newcastle,Midfielder,90,6,1,6.0,Apolinário de Lira,Joelinton Cássio,180974.jpg,3
Bruno Guimarães-37415,Bruno Guimarães,Newcastle,Midfielder,90,3,1,6.0,Guimarães Rodriguez Moura,Bruno,208706.jpg,4
Gordon-1958,Gordon,Everton,Midfielder,90,2,1,5.5,Gordon,Anthony,232826.jpg,2
A.Doucouré-1858,A.Doucouré,Everton,Midfielder,90,2,1,5.5,Doucouré,Abdoulaye,121599.jpg,2
Iwobi-1868,Iwobi,Everton,Midfielder,90,2,1,5.5,Iwobi,Alex,153133.jpg,3
Gray-1898,Gray,Everton,Midfielder,90,2,1,5.5,Gray,Demarai,172632.jpg,2
Grealish-30513,Grealish,Man City,Midfielder,90,3,1,7.0,Grealish,Jack,114283.jpg,4
Vardy-25510,Vardy,Leicester,Forward,90,5,1,9.5,Vardy,Jamie,101668.jpg,1
Moore-623,Moore,Bournemouth,Forward,90,6,1,5.5,Moore,Kieffer,128340.jpg,1
Solanke-663,Solanke,Bournemouth,Forward,90,2,1,6.0,Solanke,Dominic,154566.jpg,3
Mitrović-2109,Mitrović,Fulham,Forward,90,13,1,6.5,Mitrović,Aleksandar,128389.jpg,3
Toney-804,Toney,Brentford,Forward,90,8,1,7.0,Toney,Ivan,144485.jpg,1
Mbeumo-954,Mbeumo,Brentford,Forward,90,2,1,6.0,Mbeumo,Bryan,446008.jpg,4
Kane-42718,Kane,Spurs,Forward,90,2,1,11.5,Kane,Harry,78830.jpg,2
Johnson-39416,Johnson,Nott'm Forest,Forward,90,2,1,6.0,Johnson,Brennan,242898.jpg,4
Welbeck-1035,Welbeck,Brighton,Forward,90,7,1,6.5,Welbeck,Danny,50175.jpg,1
Ramsdale-151,Ramsdale,Arsenal,Goalkeeper,90,6,1,5.0,Ramsdale,Aaron,225321.jpg,3
Guaita-1527,Guaita,Crystal Palace,Goalkeeper,90,1,1,4.5,Guaita,Vicente,40836.jpg,1
Ward-25410,Ward,Leicester,Goalkeeper,90,1,1,4.0,Ward,Danny,95463.jpg,2
Travers-723,Travers,Bournemouth,Goalkeeper,90,6,1,4.5,Travers,Mark,229600.jpg,3
Rodák-2139,Rodák,Fulham,Goalkeeper,90,1,1,4.5,Rodák,Marek,155529.jpg,4
Martínez-312,Martínez,Aston Villa,Goalkeeper,90,1,1,5.0,Martínez Romero,Emiliano,98980.jpg,2
De Gea-32714,De Gea,Man Utd,Goalkeeper,90,1,1,5.0,De Gea Quintana,David,51940.jpg,2
Raya-814,Raya,Brentford,Goalkeeper,90,2,1,4.5,Raya Martin,David,154561.jpg,2
Lloris-42518,Lloris,Spurs,Goalkeeper,90,2,1,5.5,Lloris,Hugo,37915.jpg,1
Alisson-28112,Alisson,Liverpool,Goalkeeper,90,1,1,5.5,Ramses Becker,Alisson,116535.jpg,2
Meslier-23811,Meslier,Leeds,Goalkeeper,90,3,1,4.5,Meslier,Illan,437495.jpg,2
Bazunu-42217,Bazunu,Southampton,Goalkeeper,90,1,1,4.5,Bazunu,Gavin,456350.jpg,3
Henderson-39816,Henderson,Nott'm Forest,Goalkeeper,90,3,1,4.5,Henderson,Dean,172649.jpg,2
Mendy-1476,Mendy,Chelsea,Goalkeeper,90,7,1,5.0,Mendy,Edouard,228286.jpg,1
Sá-47820,Sá,Wolves,Goalkeeper,90,2,1,5.0,Malheiro de Sá,José,149065.jpg,1
Sánchez-1135,Sánchez,Brighton,Goalkeeper,90,4,1,4.5,Sánchez,Robert,215059.jpg,4
Pope-37615,Pope,Newcastle,Goalkeeper,90,6,1,5.0,Pope,Nick,98747.jpg,2
Pickford-1828,Pickford,Everton,Goalkeeper,90,3,1,4.5,Pickford,Jordan,111234.jpg,4
Ederson-30713,Ederson,Man City,Goalkeeper,90,7,1,5.5,Santana de Moraes,Ederson,121160.jpg,3
Shaw-33214,Shaw,Man Utd,Defender,89,0,1,5.0,Shaw,Luke,106760.jpg,1
Fernandes-33314,Fernandes,Man Utd,Midfielder,89,2,1,10.0,Borges Fernandes,Bruno,141746.jpg,2
Sancho-34014,Sancho,Man Utd,Midfielder,89,2,1,7.5,Sancho,Jadon,209243.jpg,1
Saint-Maximin-36815,Saint-Maximin,Newcastle,Midfielder,89,3,1,6.5,Saint-Maximin,Allan,170137.jpg,1
Wilson-35615,Wilson,Newcastle,Forward,89,6,1,7.5,Wilson,Callum,75115.jpg,1
Andreas-3469,Andreas,Fulham,Midfielder,88,2,1,4.5,Hoelgebaum Pereira,Andreas,156689.jpg,1
Rodri-31513,Rodri,Man City,Midfielder,88,3,1,6.0,Hernandez,Rodrigo,220566.jpg,1
De Bruyne-30113,De Bruyne,Man City,Midfielder,87,6,1,12.0,De Bruyne,Kevin,61366.jpg,3
Foden-31413,Foden,Man City,Midfielder,87,3,1,8.0,Foden,Phil,209244.jpg,1
Emerson Royal-44518,Emerson Royal,Spurs,Defender,86,9,1,5.0,Leite de Souza Junior,Emerson,241157.jpg,3
Davies-43218,Davies,Spurs,Defender,85,2,1,5.0,Davies,Ben,115556.jpg,4
Schlupp-1617,Schlupp,Crystal Palace,Midfielder,85,2,1,5.0,Schlupp,Jeffrey,86417.jpg,1
Eze-1697,Eze,Crystal Palace,Midfielder,85,2,1,5.5,Eze,Eberechi,232413.jpg,2
Tavernier-5353,Tavernier,Bournemouth,Midfielder,85,3,1,5.0,Tavernier,Marcus,201658.jpg,3
Bentancur-44018,Bentancur,Spurs,Midfielder,85,1,1,5.5,Bentancur,Rodrigo,202993.jpg,3
Kulusevski-44618,Kulusevski,Spurs,Midfielder,85,13,1,8.0,Kulusevski,Dejan,445044.jpg,4
Aaronson-24611,Aaronson,Leeds,Midfielder,84,2,1,5.5,Aaronson,Brenden,427637.jpg,4
Hwang-48120,Hwang,Wolves,Midfielder,84,5,1,6.0,Hee-chan,Hwang,184754.jpg,3
Hickey-5104,Hickey,Brentford,Defender,83,1,1,5.0,Hickey,Aaron,472713.jpg,3
Wissa-894,Wissa,Brentford,Midfielder,83,2,1,5.5,Wissa,Yoane,216646.jpg,4
Bamford-22711,Bamford,Leeds,Forward,83,5,1,7.5,Bamford,Patrick,106617.jpg,3
Zinchenko-3131,Zinchenko,Arsenal,Defender,82,12,1,5.0,Zinchenko,Oleksandr,206325.jpg,3
Niakhaté-50716,Niakhaté,Nott'm Forest,Defender,82,1,1,4.5,Niakhaté,Moussa,199170.jpg,1
Jesus-281,Jesus,Arsenal,Forward,82,2,1,8.0,Fernando de Jesus,Gabriel,205651.jpg,2
Coutinho-292,Coutinho,Aston Villa,Midfielder,81,2,1,7.0,Coutinho Correia,Philippe,84583.jpg,1
Kamara-532,Kamara,Aston Villa,Midfielder,81,2,1,5.0,Kamara,Boubacar,226944.jpg,3
Almirón-36915,Almirón,Newcastle,Midfielder,80,3,1,5.0,Almirón Rejala,Miguel,179018.jpg,3
Willock-37315,Willock,Newcastle,Midfielder,79,3,1,5.0,Willock,Joe,200089.jpg,4
McTominay-33814,McTominay,Man Utd,Midfielder,77,1,1,5.0,McTominay,Scott,195851.jpg,4
Luis Díaz-29312,Luis Díaz,Liverpool,Midfielder,77,2,1,8.0,Díaz,Luis,244731.jpg,4
Gündogan-30013,Gündogan,Man City,Midfielder,77,3,1,7.5,Gündogan,Ilkay,59859.jpg,1
Haaland-31813,Haaland,Man City,Forward,77,13,1,11.5,Haaland,Erling,223094.jpg,2
Lallana-1015,Lallana,Brighton,Midfielder,75,2,1,5.0,Lallana,Adam,39155.jpg,1
Koulibaly-5206,Koulibaly,Chelsea,Defender,74,6,1,5.5,Koulibaly,Kalidou,86129.jpg,4
Trossard-1115,Trossard,Brighton,Midfielder,74,1,1,6.5,Trossard,Leandro,116216.jpg,4
C.Doucouré-5147,C.Doucouré,Crystal Palace,Midfielder,74,2,1,5.0,Doucouré,Cheick,438464.jpg,3
Romeu-40217,Romeu,Southampton,Midfielder,74,2,1,5.0,Romeu Vidal,Oriol,78056.jpg,4
O'Brien-52416,O'Brien,Nott'm Forest,Midfielder,74,1,1,5.0,O'Brien,Lewis,243345.jpg,2
Havertz-1456,Havertz,Chelsea,Forward,74,2,1,8.0,Havertz,Kai,219847.jpg,3
Holgate-1928,Holgate,Everton,Defender,72,1,1,4.5,Holgate,Mason,194164.jpg,1
Dewsbury-Hall-26610,Dewsbury-Hall,Leicester,Midfielder,72,10,1,5.0,Dewsbury-Hall,Kiernan,215413.jpg,3
Nørgaard-794,Nørgaard,Brentford,Midfielder,72,2,1,5.5,Nørgaard,Christian,128295.jpg,1
Roca-24511,Roca,Leeds,Midfielder,72,2,1,5.0,Roca Junqué,Marc,234370.jpg,2
Pearson-683,Pearson,Bournemouth,Midfielder,71,2,1,4.5,Pearson,Ben,156687.jpg,1
Djenepo-41817,Djenepo,Southampton,Midfielder,71,5,1,5.0,Djenepo,Moussa,431131.jpg,2
Mina-1888,Mina,Everton,Defender,69,1,1,4.5,Mina,Yerry,164511.jpg,1
R.Sessegnon-43618,R.Sessegnon,Spurs,Defender,65,7,1,4.5,Sessegnon,Ryan,184349.jpg,2
Kebano-2049,Kebano,Fulham,Midfielder,65,2,1,5.5,Kebano,Neeskens,92259.jpg,3
Ings-302,Ings,Aston Villa,Forward,65,1,1,7.0,Ings,Danny,84939.jpg,1
Chilwell-1396,Chilwell,Chelsea,Defender,64,9,1,6.0,Chilwell,Ben,172850.jpg,2
Rodrigo-22511,Rodrigo,Leeds,Midfielder,64,7,1,6.0,Moreno,Rodrigo,80954.jpg,1
Mount-1426,Mount,Chelsea,Midfielder,64,3,1,8.0,Mount,Mason,184341.jpg,1
Surridge-39116,Surridge,Nott'm Forest,Forward,62,2,1,5.0,Surridge,Sam,217331.jpg,3
Areola-47319,Areola,West Ham,Goalkeeper,61,1,1,4.5,Areola,Alphonse,84182.jpg,4
McNeil-5348,McNeil,Everton,Midfielder,60,2,1,5.5,McNeil,Dwight,433154.jpg,1
Mee-5264,Mee,Brentford,Defender,58,0,1,4.5,Mee,Ben,51927.jpg,4
Jensen-884,Jensen,Brentford,Midfielder,58,1,1,5.0,Jensen,Mathias,207283.jpg,1
Fabinho-28212,Fabinho,Liverpool,Midfielder,58,1,1,5.5,Tavares,Fabio Henrique,116643.jpg,1
Edouard-1667,Edouard,Crystal Palace,Forward,57,1,1,5.5,Edouard,Odsonne,199670.jpg,3
Lanzini-46019,Lanzini,West Ham,Midfielder,56,1,1,5.5,Lanzini,Manuel,86934.jpg,1
Antonio-45819,Antonio,West Ham,Forward,56,1,1,7.5,Antonio,Michail,57531.jpg,3
Fred-33114,Fred,Man Utd,Midfielder,52,1,1,5.5,Rodrigues de Paula Santos,Frederico,101582.jpg,3
Thiago-27712,Thiago,Liverpool,Midfielder,50,1,1,5.5,Alcántara do Nascimento,Thiago,61558.jpg,2
Firmino-27912,Firmino,Liverpool,Forward,50,1,1,8.0,Firmino,Roberto,92217.jpg,2
Stephens-40417,Stephens,Southampton,Defender,45,0,1,4.5,Stephens,Jack,88900.jpg,4
Valery-41417,Valery,Southampton,Defender,45,0,1,4.0,Valery,Yan,213482.jpg,3
Buendía-422,Buendía,Aston Villa,Midfielder,45,1,1,6.0,Buendía Stati,Emiliano,195546.jpg,3
Ramsey-472,Ramsey,Aston Villa,Midfielder,45,0,1,5.5,Ramsey,Jacob,232653.jpg,2
S.Armstrong-40517,S.Armstrong,Southampton,Midfielder,45,1,1,5.0,Armstrong,Stuart,91047.jpg,1
A.Armstrong-40817,A.Armstrong,Southampton,Forward,45,1,1,5.5,Armstrong,Adam,155511.jpg,1
Elliott-29412,Elliott,Liverpool,Midfielder,39,1,1,5.0,Elliott,Harvey,444884.jpg,1
Darwin-29712,Darwin,Liverpool,Forward,39,9,1,9.0,Núñez Ribeiro,Darwin,447203.jpg,2
Ronaldo-32614,Ronaldo,Man Utd,Forward,37,1,1,10.5,dos Santos Aveiro,Cristiano Ronaldo,14937.jpg,1
Benrahma-46419,Benrahma,West Ham,Midfielder,33,1,1,6.0,Benrahma,Saïd,172841.jpg,4
Scamacca-52919,Scamacca,West Ham,Forward,33,1,1,7.0,Scamacca,Gianluca,195899.jpg,1
Mateta-1687,Mateta,Crystal Palace,Forward,32,1,1,5.5,Mateta,Jean-Philippe,231747.jpg,2
Dasilva-834,Dasilva,Brentford,Midfielder,31,6,1,4.5,Dasilva,Josh,183656.jpg,2
Lewis-Potter-5154,Lewis-Potter,Brentford,Midfielder,31,1,1,5.5,Lewis-Potter,Keane,249231.jpg,4
Milner-27412,Milner,Liverpool,Midfielder,31,1,1,4.5,Milner,James,15157.jpg,4
Dele-1818,Dele,Everton,Midfielder,29,1,1,5.5,Alli,Dele,108823.jpg,2
Fabianski-45519,Fabianski,West Ham,Goalkeeper,28,1,1,5.0,Fabianski,Lukasz,37096.jpg,2
Awoniyi-39716,Awoniyi,Nott'm Forest,Forward,27,1,1,6.0,Awoniyi,Taiwo,210156.jpg,3
Klich-22311,Klich,Leeds,Midfielder,25,1,1,5.0,Klich,Mateusz,72222.jpg,3
Loftus-Cheek-1366,Loftus-Cheek,Chelsea,Midfielder,25,1,1,5.0,Loftus-Cheek,Ruben,126187.jpg,1
Pulisic-1406,Pulisic,Chelsea,Midfielder,25,1,1,6.0,Pulisic,Christian,176413.jpg,4
Perišić-44818,Perišić,Spurs,Defender,24,1,1,5.5,Perišić,Ivan,45034.jpg,1
Solomon-5629,Solomon,Fulham,Midfielder,24,1,1,5.0,Solomon,Manor,235674.jpg,1
Watkins-402,Watkins,Aston Villa,Forward,24,1,1,7.5,Watkins,Ollie,178301.jpg,1
Vinagre-5318,Vinagre,Everton,Defender,20,1,1,4.5,Nascimento Vinagre,Rúben,216054.jpg,1
Perraud-41717,Perraud,Southampton,Defender,18,1,1,4.5,Perraud,Romain,244560.jpg,1
Cook-673,Cook,Bournemouth,Midfielder,18,1,1,5.0,Cook,Lewis,155408.jpg,2
Godfrey-1938,Godfrey,Everton,Defender,17,1,1,4.5,Godfrey,Ben,198826.jpg,3
Baptiste-944,Baptiste,Brentford,Midfielder,17,1,1,4.5,Baptiste,Shandon,432160.jpg,2
Daka-27110,Daka,Leicester,Forward,17,1,1,6.0,Daka,Patson,245419.jpg,4
Greenwood-23711,Greenwood,Leeds,Forward,17,1,1,4.5,Greenwood,Sam,248937.jpg,4
Cucurella-1126,Cucurella,Chelsea,Defender,15,0,1,5.0,Cucurella Saseta,Marc,179268.jpg,3
Lamptey-1145,Lamptey,Brighton,Defender,15,1,1,4.5,Lamptey,Tariq,232792.jpg,1
Milivojevic-1587,Milivojevic,Crystal Palace,Midfielder,15,1,1,4.5,Milivojevic,Luka,66975.jpg,2
Diallo-41617,Diallo,Southampton,Midfielder,15,1,1,4.5,Diallo,Ibrahima,240143.jpg,1
Mangala-53616,Mangala,Nott'm Forest,Midfielder,15,1,1,5.0,Mangala,Orel,179519.jpg,3
Broja-1506,Broja,Chelsea,Forward,15,1,1,5.5,Broja,Armando,440323.jpg,1
Mwepu-1185,Mwepu,Brighton,Midfielder,14,1,1,5.5,Mwepu,Enock,423649.jpg,2
